station;long;lat;date;weekday;time;visibility;relative_humidity;precipitation;wind_speed;air_temp
83967;-51.17472221;-30.05361111;02/02/2017;3;00:00;1.0;0.82;0.0;1.6;25.6
83967;-51.17472221;-30.05361111;02/02/2017;3;12:00;1.0;0.75;0.0;1.1;26.8
83967;-51.17472221;-30.05361111;02/02/2017;3;18:00;1.0;0.59;0.0;1.3;31.9
83967;-51.17472221;-30.05361111;03/02/2017;4;00:00;1.0;0.79;0.0;1.6;27.9
83967;-51.17472221;-30.05361111;03/02/2017;4;12:00;1.0;0.78;1.6;2.8;26.8
83967;-51.17472221;-30.05361111;03/02/2017;4;18:00;0.3333333333333333;0.81;2.1;1.8;28.2
83967;-51.17472221;-30.05361111;04/02/2017;5;00:00;1.0;0.83;0.0;1.5;26.4
83967;-51.17472221;-30.05361111;04/02/2017;5;12:00;1.0;0.69;0.0;0.0;28.7
83967;-51.17472221;-30.05361111;04/02/2017;5;18:00;1.0;0.47;0.0;2.0;35.1
83967;-51.17472221;-30.05361111;05/02/2017;6;00:00;1.0;0.72;0.0;2.0;27.4
83967;-51.17472221;-30.05361111;05/02/2017;6;12:00;1.0;0.76;0.0;2.5;26.4
83967;-51.17472221;-30.05361111;05/02/2017;6;18:00;1.0;0.59;0.0;2.5;31.4
83967;-51.17472221;-30.05361111;06/02/2017;0;00:00;1.0;0.68;0.0;2.5;27.6
83967;-51.17472221;-30.05361111;06/02/2017;0;12:00;1.0;0.7;0.0;3.6;23.0
83967;-51.17472221;-30.05361111;06/02/2017;0;18:00;1.0;0.49;0.0;3.3;26.1
83967;-51.17472221;-30.05361111;07/02/2017;1;00:00;1.0;0.67;0.0;2.3;22.5
83967;-51.17472221;-30.05361111;07/02/2017;1;12:00;1.0;0.68;0.0;2.0;23.2
83967;-51.17472221;-30.05361111;07/02/2017;1;18:00;1.0;0.57;0.0;2.3;27.2
83967;-51.17472221;-30.05361111;08/02/2017;2;00:00;1.0;0.74;0.0;2.0;21.8
83967;-51.17472221;-30.05361111;08/02/2017;2;12:00;1.0;0.62;0.0;2.3;24.7
83967;-51.17472221;-30.05361111;08/02/2017;2;18:00;1.0;0.51;0.0;3.0;28.8
83967;-51.17472221;-30.05361111;09/02/2017;3;00:00;1.0;0.71;0.0;2.3;23.2
83967;-51.17472221;-30.05361111;09/02/2017;3;12:00;1.0;0.65;0.0;2.3;27.2
83967;-51.17472221;-30.05361111;09/02/2017;3;18:00;1.0;0.51;0.0;2.5;33.0
83967;-51.17472221;-30.05361111;10/02/2017;4;00:00;1.0;0.79;0.0;2.1;25.6
83967;-51.17472221;-30.05361111;10/02/2017;4;12:00;1.0;0.66;0.0;2.5;28.0
83967;-51.17472221;-30.05361111;10/02/2017;4;18:00;1.0;0.51;0.0;2.8;34.0
83967;-51.17472221;-30.05361111;11/02/2017;5;00:00;1.0;0.75;0.0;1.8;26.0
83967;-51.17472221;-30.05361111;11/02/2017;5;12:00;0.8333333333333334;0.91;2.3;1.0;23.4
